user_id,avg_response_time,total_requests,total_bytes,error_count,success_rate
user_0064,237.22366666666667,30,2580010,10.0,66.67
user_0065,716.6303999999999,25,365495,8.0,68.0
user_0066,383.5456521739131,23,1763633,7.0,69.57
user_0067,638.4748275862069,29,775473,7.0,75.86
user_0068,439.37763157894744,38,1434044,13.0,65.79
user_0069,407.0013333333333,30,1699485,9.0,70.0
user_0070,491.23370370370367,27,671340,8.0,70.37
user_0071,470.85190476190473,42,2928109,12.0,71.43
user_0072,284.2815625,32,509161,6.0,81.25
user_0073,529.8933333333333,24,1094352,11.0,54.17
user_0074,628.7211111111111,27,740665,5.0,81.48
user_0075,410.98409090909087,22,850903,8.0,63.64
user_0076,808.9227586206896,29,1783148,6.0,79.31
user_0077,352.67,26,1406048,7.0,73.08
user_0078,422.7959259259259,27,1180123,7.0,74.07
user_0079,197.40142857142857,35,3917503,8.0,77.14
user_0080,280.745,26,767854,6.0,76.92
user_0081,674.7095652173913,23,1721912,6.0,73.91
user_0082,274.68617021276594,47,1947472,6.0,87.23
user_0083,570.483125,32,158180,8.0,75.0
user_0084,530.9507692307692,26,334496,8.0,69.23
user_0085,207.42973684210526,38,2393070,10.0,73.68
user_0086,318.96774999999997,40,1365366,12.0,70.0
user_0087,336.7220588235294,34,2219032,10.0,70.59
user_0088,530.7181818181818,33,1229383,6.0,81.82
user_0089,749.1303225806452,31,1752752,6.0,80.65
user_0090,299.54324324324324,37,1184478,9.0,75.68
user_0091,230.6416,25,1537705,5.0,80.0
user_0092,278.26310344827584,29,1303706,5.0,82.76
user_0093,317.1584375,32,2131915,7.0,78.12
user_0094,476.62656250000003,32,1883728,3.0,90.62
user_0095,165.69708333333332,24,2408059,6.0,75.0
user_0096,820.7246428571428,28,835668,11.0,60.71
user_0097,464.9170833333333,24,1605152,3.0,87.5
user_0098,310.02206896551724,29,1177419,4.0,86.21
user_0099,539.6125,28,601964,6.0,78.57
user_0100,370.55,35,2011649,3.0,91.43
user_0101,267.58,3,11143,1.0,66.67
user_0102,236.47,2,12036,0.0,100.0
user_0103,92.89333333333333,3,406923,0.0,100.0
user_0104,175.10666666666665,6,18976,1.0,83.33
user_0105,353.3225,4,17949,2.0,50.0
user_0106,667.68,3,15278,0.0,100.0
user_0107,309.9783333333333,6,680047,0.0,100.0
user_0108,56.35,1,2845,0.0,100.0
user_0109,160.752,5,240299,1.0,80.0
user_0110,269.5,2,5963,1.0,50.0
user_0112,290.645,2,1337,1.0,50.0
user_0113,339.45,1,2352,0.0,100.0
user_0114,2483.7433333333333,3,1488,2.0,33.33
user_0115,129.82999999999998,4,663156,0.0,100.0
user_0116,284.635,2,3745,1.0,50.0
user_0117,257.995,2,2085,0.0,100.0
user_0118,351.99749999999995,4,515476,1.0,75.0
user_0119,699.2950000000001,2,6105,0.0,100.0
user_0120,31.060000000000002,2,446224,0.0,100.0
user_0121,226.89714285714285,7,516512,2.0,71.43
user_0122,295.1875,4,8218,0.0,100.0
user_0123,172.39666666666668,3,278365,1.0,66.67
user_0124,812.09625,8,21919,5.0,37.5
user_0125,490.8633333333333,3,11757,0.0,100.0
user_0126,243.6775,4,470182,0.0,100.0
user_0127,179.21,3,558575,1.0,66.67
user_0128,189.485,4,333819,1.0,75.0
user_0129,101.59,2,636289,1.0,50.0
user_0130,435.265,4,124127,1.0,75.0
user_0131,270.73,5,17038,2.0,60.0
user_0132,363.17400000000004,5,29135,1.0,80.0
user_0133,636.9499999999999,3,510201,0.0,100.0
user_0134,159.17000000000002,2,153651,1.0,50.0
user_0135,200.89,1,6162,1.0,0.0
user_0136,1684.2566666666664,6,31786,1.0,83.33
user_0137,237.2,4,6886,2.0,50.0
user_0138,153.06,4,553009,1.0,75.0
user_0139,114.355,2,506236,0.0,100.0
user_0140,462.69,1,2800,0.0,100.0
user_0141,411.16,2,74458,0.0,100.0
user_0142,178.535,4,177100,0.0,100.0
user_0143,2707.4325,4,12652,0.0,100.0
user_0144,339.238,5,415503,0.0,100.0
user_0145,177.535,4,127447,2.0,50.0
user_0146,177.83,3,126364,1.0,66.67
user_0147,313.285,2,2818,2.0,0.0
user_0148,133.7,1,764,1.0,0.0
user_0149,742.2400000000001,3,166407,0.0,100.0
user_0150,1072.67,2,15433,0.0,100.0
user_0151,154.47,2,93621,0.0,100.0
user_0152,598.6166666666667,6,12535,0.0,100.0
user_0153,229.48333333333335,3,12680,0.0,100.0
user_0154,169.55,1,1460,0.0,100.0
user_0155,228.43142857142857,7,24860,1.0,85.71
user_0156,245.93,4,18271,2.0,50.0
user_0157,991.6933333333333,3,8693,1.0,66.67
user_0158,81.0,3,445858,0.0,100.0
user_0159,159.46,4,358144,1.0,75.0
user_0160,522.2775,4,805084,1.0,75.0
user_0161,1990.533333333333,3,511878,1.0,66.67
user_0162,202.11333333333332,3,11198,1.0,66.67
user_0163,554.6,3,13136,1.0,66.67
user_0164,424.8325,4,10293,1.0,75.0
user_0165,95.80000000000001,2,137859,0.0,100.0
user_0167,199.0,1,1542,0.0,100.0
user_0168,253.5625,4,11207,1.0,75.0
user_0169,274.3333333333333,3,18909,0.0,100.0
user_0170,62.94499999999999,2,539838,0.0,100.0
user_0171,318.52000000000004,6,25019,2.0,66.67
user_0172,676.46,2,7061,1.0,50.0
user_0173,254.25333333333333,3,7995,1.0,66.67
user_0174,2775.08,2,3796,1.0,50.0
user_0175,58.17,1,6258,1.0,0.0
user_0176,42.94,1,89337,0.0,100.0
user_0177,229.57000000000002,3,296146,0.0,100.0
user_0178,42.75666666666667,3,268211,1.0,66.67
user_0179,360.18,2,8879,0.0,100.0
user_0180,154.05,1,232,1.0,0.0
user_0181,382.22,1,7796,0.0,100.0
user_0182,295.335,2,11049,0.0,100.0
user_0183,158.71,1,5096,0.0,100.0
user_0184,678.395,2,11366,0.0,100.0
user_0185,356.4533333333333,3,12554,1.0,66.67
user_0187,345.24666666666667,3,12634,0.0,100.0
user_0188,646.56,1,3498,0.0,100.0
user_0190,306.7625,4,386780,2.0,50.0
user_0191,229.89666666666665,3,135747,1.0,66.67
user_0192,226.988,5,424599,1.0,80.0
user_0193,12.58,1,201645,0.0,100.0
user_0194,502.1033333333333,3,321615,2.0,33.33
user_0195,1164.39,1,7518,0.0,100.0
user_0196,369.5833333333333,3,2724,2.0,33.33
user_0197,196.84,3,428794,2.0,33.33
user_0198,222.48,1,5179,0.0,100.0
user_0199,528.87,2,13156,0.0,100.0
user_0200,233.0257142857143,7,434826,1.0,85.71
user_0201,93.25500000000001,2,341466,0.0,100.0
user_0202,219.10999999999999,5,14913,2.0,60.0
user_0203,2124.5925,4,15188,1.0,75.0
user_0204,350.755,2,132645,1.0,50.0
user_0205,352.798,5,257025,1.0,80.0
user_0206,6716.048333333332,6,385752,3.0,50.0
user_0207,1692.518,5,364153,3.0,40.0
user_0208,128.906,5,329292,1.0,80.0
user_0209,498.5466666666667,3,518264,0.0,100.0
user_0210,540.0,2,3038,1.0,50.0
user_0211,526.5833333333334,3,14353,0.0,100.0
user_0212,422.2966666666666,6,26269,1.0,83.33
user_0213,596.8625,4,15960,0.0,100.0
user_0214,167.346,5,18076,2.0,60.0
user_0216,484.59999999999997,2,8036,0.0,100.0
user_0217,458.28333333333336,3,7888,1.0,66.67
user_0218,274.16,1,7334,0.0,100.0
user_0219,344.7833333333333,3,7310,1.0,66.67
user_0220,329.92,2,5859,0.0,100.0
user_0221,82.77333333333333,3,191967,0.0,100.0
user_0223,306.81800000000004,5,257853,0.0,100.0
user_0224,402.00428571428574,7,528270,0.0,100.0
user_0225,365.1875,4,382522,3.0,25.0
user_0226,140.3275,4,489329,3.0,25.0
user_0227,212.105,4,501551,1.0,75.0
user_0228,201.26,2,9664,0.0,100.0
user_0229,943.37,1,1686,0.0,100.0
user_0230,373.89,5,321258,1.0,80.0
user_0231,122.21,2,3042,0.0,100.0
user_0232,389.69,2,6014,1.0,50.0
user_0233,327.948,5,20484,3.0,40.0
user_0234,472.63599999999997,5,325782,1.0,80.0
user_0235,42.565,2,645598,0.0,100.0
user_0237,247.08333333333334,9,1306842,2.0,77.78
user_0238,376.175,2,3909,0.0,100.0
user_0239,683.86,1,8191,0.0,100.0
user_0240,1119.15,1,4073,0.0,100.0
user_0241,172.44333333333336,3,57941,1.0,66.67
user_0242,192.98,1,1715,0.0,100.0
user_0243,486.62,2,2875,1.0,50.0
user_0244,177.15499999999997,2,180494,0.0,100.0
user_0245,62.47,1,66211,0.0,100.0
user_0246,391.145,2,8820,0.0,100.0
user_0247,347.77750000000003,4,479203,0.0,100.0
user_0248,227.675,2,8005,1.0,50.0
user_0249,537.0233333333334,3,188212,2.0,33.33
user_0251,605.6899999999999,2,464024,0.0,100.0
user_0252,189.99333333333334,3,430059,0.0,100.0
user_0253,307.17499999999995,2,9293,0.0,100.0
user_0254,316.53,2,4129,1.0,50.0
user_0255,254.85,1,626,0.0,100.0
user_0256,289.65,1,7076,1.0,0.0
user_0257,1414.7379999999998,5,10552,2.0,60.0
user_0258,411.035,6,60109,2.0,66.67
user_0259,1985.0575,4,3673,2.0,50.0
user_0260,198.13,2,95284,1.0,50.0
user_0261,973.14,1,2159,0.0,100.0
user_0262,192.376,5,314344,0.0,100.0
user_0263,274.02,2,8478,0.0,100.0
user_0264,219.875,4,116651,2.0,50.0
user_0265,290.91999999999996,2,5623,1.0,50.0
user_0266,112.356,5,520210,0.0,100.0
user_0267,356.56,3,10964,1.0,66.67
user_0268,99.50999999999999,3,78879,1.0,66.67
user_0269,324.56399999999996,5,13866,2.0,60.0
user_0270,656.425,2,2278,0.0,100.0
user_0271,1222.9066666666668,3,8562,2.0,33.33
user_0272,2474.2533333333336,3,4715,1.0,66.67
user_0273,457.8,1,6133,0.0,100.0
user_0274,357.235,4,14712,1.0,75.0
user_0275,297.6466666666667,6,20366,2.0,66.67
user_0276,629.9739999999999,5,33454,1.0,80.0
user_0278,329.055,8,261377,2.0,75.0
user_0279,190.23,1,3070,0.0,100.0
user_0280,449.57,2,12610,0.0,100.0
user_0281,237.025,4,12270,0.0,100.0
user_0282,355.5833333333333,9,84891,3.0,66.67
user_0283,1017.51,1,4258,0.0,100.0
user_0284,447.38999999999993,3,15623,0.0,100.0
user_0285,257.3777777777778,9,41082,2.0,77.78
user_0286,362.6283333333334,6,366188,3.0,50.0
user_0287,181.18,8,511068,3.0,62.5
user_0290,284.09749999999997,4,94601,1.0,75.0
user_0291,148.3,4,85906,0.0,100.0
user_0292,234.68,2,12356,0.0,100.0
user_0293,286.8666666666666,3,11536,1.0,66.67
user_0294,206.18,2,227551,0.0,100.0
user_0295,135.195,2,5229,0.0,100.0
user_0296,39.623333333333335,3,370253,1.0,66.67
user_0297,188.5666666666667,3,12888,1.0,66.67
user_0298,189.6825,4,331428,0.0,100.0
user_0299,3403.1549999999997,2,9444,0.0,100.0
user_0300,620.3766666666667,3,8891,0.0,100.0
user_0301,472.55,3,14555,2.0,33.33
user_0302,416.9766666666667,6,29023,2.0,66.67
user_0303,408.89,4,164408,1.0,75.0
user_0304,406.47,4,21633,0.0,100.0
user_0305,520.3466666666667,3,5622,1.0,66.67
user_0306,136.4933333333333,3,390984,0.0,100.0
user_0307,1557.615,4,21235,0.0,100.0
user_0308,187.385,2,10976,0.0,100.0
user_0309,221.98,4,37884,4.0,0.0
user_0310,184.505,2,8991,0.0,100.0
user_0311,274.78,2,6764,1.0,50.0
user_0313,880.2566666666667,6,26256,1.0,83.33
user_0314,2790.545,2,6546,0.0,100.0
user_0315,538.4250000000001,6,399715,1.0,83.33
user_0316,365.4575,4,25229,0.0,100.0
user_0317,367.84666666666664,6,20772,2.0,66.67
user_0319,316.08666666666664,3,2269,2.0,33.33
user_0320,527.7866666666666,3,9862,0.0,100.0
user_0321,442.85,2,4303,0.0,100.0
user_0322,385.06,2,6924,1.0,50.0
user_0323,216.18,2,235962,0.0,100.0
user_0324,398.25,1,8178,0.0,100.0
user_0325,435.7866666666667,3,13080,1.0,66.67
user_0326,383.49,1,6859,0.0,100.0
user_0327,314.42,1,3803,0.0,100.0
user_0328,316.33166666666665,6,493832,1.0,83.33
user_0329,1447.05,2,5855,1.0,50.0
user_0330,175.89,2,393855,0.0,100.0
user_0331,287.46799999999996,5,497381,1.0,80.0
user_0332,102.03999999999999,2,236051,0.0,100.0
user_0333,392.03000000000003,2,262888,0.0,100.0
user_0334,191.256,5,23358,1.0,80.0
user_0335,146.16500000000002,2,1780,1.0,50.0
user_0336,377.822,5,24383,3.0,40.0
user_0337,152.15,1,5421,0.0,100.0
user_0338,169.878,5,343115,0.0,100.0
user_0339,199.93,1,7945,0.0,100.0
user_0340,315.08,8,444507,3.0,62.5
user_0341,343.63199999999995,5,11796,3.0,40.0
user_0342,679.49,2,2308,1.0,50.0
user_0343,270.7,1,3293,0.0,100.0
user_0344,228.98666666666668,3,478640,0.0,100.0
user_0345,87.57,1,7330,1.0,0.0
user_0346,165.815,2,448391,0.0,100.0
user_0347,855.64,1,4312,0.0,100.0
user_0348,169.4,3,10223,0.0,100.0
user_0349,174.29,2,24787,1.0,50.0
user_0350,299.03000000000003,6,31070,0.0,100.0
user_0351,61.44,1,265951,1.0,0.0
user_0352,480.4875,4,119506,0.0,100.0
user_0353,371.825,2,10637,0.0,100.0
user_0354,259.41,3,18960,1.0,66.67
user_0355,285.672,5,21494,2.0,60.0
user_0356,237.79000000000002,2,7920,0.0,100.0
user_0357,505.735,4,16188,1.0,75.0
user_0358,356.658,5,20004,2.0,60.0
user_0359,282.36,2,4442,0.0,100.0
user_0360,194.08333333333334,3,6569,0.0,100.0
user_0361,399.75500000000005,4,16995,0.0,100.0
user_0362,313.54999999999995,2,309662,1.0,50.0
user_0363,123.25,1,2133,0.0,100.0
user_0364,247.78,2,26395,1.0,50.0
user_0365,231.515,2,8089,2.0,0.0
user_0366,311.78200000000004,5,28224,1.0,80.0
user_0367,107.09,4,118995,0.0,100.0
user_0368,122.38,3,512329,1.0,66.67
user_0369,351.434,5,128295,2.0,60.0
user_0370,242.75,1,237475,1.0,0.0
user_0371,205.04,1,7079,0.0,100.0
user_0372,207.358,5,396194,1.0,80.0
user_0373,31.1,1,457193,0.0,100.0
user_0374,228.0725,4,181984,0.0,100.0
user_0375,279.052,5,505650,3.0,40.0
user_0376,154.0775,4,63497,0.0,100.0
user_0377,107.565,2,341302,0.0,100.0
user_0378,339.52333333333337,3,17852,0.0,100.0
user_0379,211.00666666666666,3,8730,1.0,66.67
user_0380,293.29285714285714,7,765077,1.0,85.71
user_0381,270.02799999999996,5,135569,2.0,60.0
user_0382,412.98,1,1320,1.0,0.0
user_0383,195.13,6,533112,2.0,66.67
user_0384,160.31,2,23773,0.0,100.0
user_0385,535.825,4,15661,0.0,100.0
user_0386,408.64625,8,128529,1.0,87.5
user_0388,420.97,3,294958,0.0,100.0
user_0389,378.435,4,20302,0.0,100.0
user_0390,393.67499999999995,2,8928,0.0,100.0
user_0391,899.3414285714287,7,31428,0.0,100.0
user_0392,255.33666666666667,3,80920,1.0,66.67
user_0393,366.145,2,8403,0.0,100.0
user_0394,162.71428571428572,7,161471,0.0,100.0
user_0395,332.45000000000005,2,455050,1.0,50.0
user_0396,357.77333333333337,3,335870,1.0,66.67
user_0397,377.6875,4,16187,1.0,75.0
user_0398,703.53,2,15799,0.0,100.0
user_0399,384.50750000000005,4,301864,2.0,50.0
user_0400,733.515,2,11007,0.0,100.0
user_0401,433.16499999999996,4,23080,0.0,100.0
user_0402,238.495,4,10833,1.0,75.0
user_0403,451.45750000000004,4,14371,0.0,100.0
user_0405,346.74333333333334,3,12686,1.0,66.67
user_0406,750.7800000000001,3,45220,1.0,66.67
user_0407,338.93,3,9637,2.0,33.33
user_0408,308.83,1,57891,1.0,0.0
user_0409,258.97333333333336,6,23159,3.0,50.0
user_0410,330.84,2,10314,0.0,100.0
user_0411,136.89,1,3885,0.0,100.0
user_0412,75.4,1,489954,0.0,100.0
user_0413,182.35666666666665,3,211181,0.0,100.0
user_0414,213.8875,4,22601,1.0,75.0
user_0415,240.42000000000002,2,48862,1.0,50.0
user_0416,764.6166666666667,3,378764,1.0,66.67
user_0417,500.525,2,7352,0.0,100.0
user_0418,300.81666666666666,3,12402,1.0,66.67
user_0419,731.0299999999999,6,641235,2.0,66.67
user_0420,134.255,6,303180,1.0,83.33
user_0421,286.642,5,262299,0.0,100.0
user_0422,298.67,1,679,1.0,0.0
user_0423,70.575,2,280359,0.0,100.0
user_0424,433.40333333333336,3,14456,0.0,100.0
user_0425,206.37,1,5271,0.0,100.0
user_0426,355.82,1,1337,1.0,0.0
user_0427,11018.06,1,5500,0.0,100.0
user_0428,565.32,1,3136,0.0,100.0
user_0429,379.56666666666666,3,7583,2.0,33.33
user_0430,23.65,1,350887,0.0,100.0
user_0431,276.07,2,5076,0.0,100.0
user_0432,574.197,10,433039,1.0,90.0
user_0433,365.895,2,8565,0.0,100.0
user_0434,293.5175,4,10850,1.0,75.0
user_0435,310.62857142857143,7,30856,1.0,85.71
user_0436,81.10249999999999,4,499382,0.0,100.0
user_0437,173.39,1,754,0.0,100.0
user_0438,1638.6999999999998,4,346584,2.0,50.0
user_0439,205.218,5,477409,0.0,100.0
user_0440,143.75,2,9209,0.0,100.0
user_0441,240.33,1,4118,0.0,100.0
user_0442,417.64142857142855,7,28437,1.0,85.71
user_0443,417.59999999999997,2,2093,1.0,50.0
user_0444,573.655,2,11947,0.0,100.0
user_0445,96.71333333333332,3,510549,0.0,100.0
user_0446,156.22333333333333,6,39848,2.0,66.67
user_0447,132.59,1,623,0.0,100.0
user_0448,496.63,4,283365,0.0,100.0
user_0449,136.73250000000002,4,618449,0.0,100.0
user_0450,701.9725,4,11899,2.0,50.0
user_0451,3672.275,2,1584,2.0,0.0
user_0452,340.774,5,162326,0.0,100.0
user_0453,345.47,1,3718,0.0,100.0
user_0454,64.655,2,4856,0.0,100.0
user_0455,97.44500000000001,2,70877,1.0,50.0
user_0456,281.758,5,223322,1.0,80.0
user_0457,308.66,4,8918,0.0,100.0
user_0458,198.155,2,9408,0.0,100.0
user_0459,2546.955,2,7388,1.0,50.0
user_0460,239.74333333333334,3,14728,1.0,66.67
user_0461,1342.18,4,13500,1.0,75.0
user_0464,786.74,1,3973,0.0,100.0
user_0465,172.22,2,10701,1.0,50.0
user_0466,134.74,4,708938,1.0,75.0
user_0467,218.97,3,195629,2.0,33.33
user_0468,177.25,1,5631,1.0,0.0
user_0469,2325.733333333333,3,7046,2.0,33.33
user_0471,109.56,3,158133,1.0,66.67
user_0472,373.6266666666667,6,46544,1.0,83.33
user_0473,494.93499999999995,2,10120,1.0,50.0
user_0474,465.51250000000005,4,10314,0.0,100.0
user_0475,273.03,2,9241,0.0,100.0
user_0476,343.5325,4,357347,1.0,75.0
user_0477,240.766,5,400523,1.0,80.0
user_0478,304.086,5,1053806,2.0,60.0
user_0479,149.59333333333333,3,968648,0.0,100.0
user_0481,413.3733333333334,3,11451,1.0,66.67
user_0482,352.07,2,1608,2.0,0.0
user_0483,290.75,1,7707,1.0,0.0
user_0484,299.77666666666664,3,20303,0.0,100.0
user_0485,55.945,2,691760,0.0,100.0
user_0486,255.695,4,61687,2.0,50.0
user_0487,941.5450000000001,4,24234,0.0,100.0
user_0488,700.3883333333333,6,343593,0.0,100.0
user_0489,169.98000000000002,2,7865,0.0,100.0
user_0490,1285.66,2,5000,0.0,100.0
user_0491,228.36,2,9109,0.0,100.0
user_0492,142.27666666666667,3,319872,0.0,100.0
user_0493,832.0933333333334,6,261522,0.0,100.0
user_0494,279.948,5,267273,1.0,80.0
user_0495,259.25,2,5644,0.0,100.0
user_0496,378.46,1,7048,0.0,100.0
user_0497,1192.6257142857144,7,402117,2.0,71.43
user_0498,695.49,2,5388,0.0,100.0
user_0499,2141.8050000000003,4,505712,2.0,50.0
user_0500,338.35333333333335,3,190286,0.0,100.0
user_0501,247.89000000000001,4,644507,0.0,100.0
user_0502,865.2533333333332,3,12660,0.0,100.0
user_0503,187.145,2,172513,1.0,50.0
user_0504,149.48250000000002,4,52892,1.0,75.0
user_0505,221.61555555555555,9,319374,4.0,55.56
user_0506,68.792,5,913037,0.0,100.0
user_0507,1194.7685714285712,7,452146,2.0,71.43
user_0508,184.32666666666668,3,7730,0.0,100.0
user_0509,24.05,1,418477,0.0,100.0
user_0510,224.9,3,8028,2.0,33.33
user_0511,231.845,2,574018,1.0,50.0
user_0512,125.67,1,750,0.0,100.0
user_0513,253.7,1,7571,0.0,100.0
user_0514,1873.2300000000002,3,12712,1.0,66.67
user_0515,702.635,2,10725,0.0,100.0
user_0516,733.17,5,21580,2.0,60.0
user_0517,1925.2033333333331,3,719105,1.0,66.67
user_0518,292.66499999999996,2,7558,0.0,100.0
user_0519,80.11333333333333,3,839547,0.0,100.0
user_0520,673.4775,4,20279,0.0,100.0
user_0521,742.254,5,9950,0.0,100.0
user_0522,393.53999999999996,2,12389,0.0,100.0
user_0523,162.535,4,385310,3.0,25.0
user_0524,178.7725,4,910814,0.0,100.0
user_0525,166.09,1,3333,1.0,0.0
user_0526,349.62999999999994,3,6902,2.0,33.33
user_0527,256.235,2,445862,0.0,100.0
user_0528,2483.44,3,2684,2.0,33.33
user_0529,358.765,2,4668,0.0,100.0
user_0530,2019.5,4,15651,1.0,75.0
user_0531,154.3,2,6978,0.0,100.0
user_0532,1171.55,4,355290,2.0,50.0
user_0533,210.73000000000002,5,406273,2.0,60.0
user_0534,246.635,4,15058,0.0,100.0
user_0535,264.75333333333333,3,6209,1.0,66.67
user_0536,158.23,1,3531,0.0,100.0
user_0537,492.6575,4,17530,0.0,100.0
user_0538,425.09000000000003,4,11625,2.0,50.0
user_0539,340.855,2,5641,0.0,100.0
user_0540,308.38142857142856,7,303044,2.0,71.43
user_0541,225.71666666666667,3,259560,0.0,100.0
user_0542,215.84,1,2461,0.0,100.0
user_0543,291.56,1,7319,0.0,100.0
user_0544,320.17333333333335,3,15567,0.0,100.0
user_0545,141.6,3,24880,0.0,100.0
user_0546,179.29999999999998,2,65112,0.0,100.0
user_0547,155.26333333333335,3,7808,0.0,100.0
user_0548,269.54,2,10792,0.0,100.0
user_0549,2733.3633333333332,3,9313,2.0,33.33
user_0550,386.9666666666667,6,24660,0.0,100.0
user_0551,129.81,4,506679,1.0,75.0
user_0552,195.90333333333334,3,6149,2.0,33.33
user_0553,149.44,1,1654,0.0,100.0
user_0554,272.7925,4,16609,1.0,75.0
user_0555,355.01,3,9808,2.0,33.33
user_0556,708.5199999999999,6,24086,1.0,83.33
user_0557,81.61,3,226590,0.0,100.0
user_0558,7548.570000000001,2,1531,1.0,50.0
user_0559,275.745,2,6092,0.0,100.0
user_0560,312.235,4,18037,1.0,75.0
user_0561,366.398,5,53531,1.0,80.0
user_0562,307.506,5,16178,2.0,60.0
user_0563,375.3875,4,324930,0.0,100.0
user_0564,3486.1,2,1993,1.0,50.0
user_0565,145.58,6,1426509,2.0,66.67
user_0566,238.1675,4,301826,1.0,75.0
user_0567,252.2975,4,657044,1.0,75.0
user_0568,36.15,1,340957,0.0,100.0
user_0569,260.325,2,8349,1.0,50.0
user_0570,286.45,1,2515,0.0,100.0
user_0571,205.948,5,24517,0.0,100.0
user_0572,383.83500000000004,2,10385,0.0,100.0
user_0573,259.23,3,11206,1.0,66.67
user_0574,325.78999999999996,6,282641,3.0,50.0
user_0576,565.55,3,9755,0.0,100.0
user_0577,146.54999999999998,3,760398,0.0,100.0
user_0578,343.8333333333333,3,8561,1.0,66.67
user_0579,241.915,2,10436,1.0,50.0
user_0580,127.2225,4,365640,0.0,100.0
user_0581,3257.18,1,1163,1.0,0.0
user_0582,227.988,5,81477,1.0,80.0
user_0583,202.98000000000002,2,8886,0.0,100.0
user_0584,150.315,4,504487,0.0,100.0
user_0585,190.774,5,376780,2.0,60.0
user_0586,468.005,2,5728,0.0,100.0
user_0587,1628.278,5,17361,2.0,60.0
user_0588,413.09666666666664,3,312872,2.0,33.33
user_0589,299.948,5,412449,3.0,40.0
user_0590,788.76,2,2908,0.0,100.0
user_0591,264.53499999999997,2,8896,0.0,100.0
user_0592,516.7466666666667,3,15477,0.0,100.0
user_0593,542.3199999999999,2,9340,0.0,100.0
user_0594,162.54999999999998,3,14153,0.0,100.0
user_0595,273.956,5,104209,1.0,80.0
user_0596,118.445,2,10306,0.0,100.0
user_0597,1298.26,4,104084,3.0,25.0
